#;Name;Current;24h Peak;All-Time Peak
1;Marfusha;103;112;1076
2;! That Bastard Is Trying To Steal Our Gold !;0;1;1951
3;!Anyway!;8;21;2498
4;"""Glow Ball"" - The billiard puzzle game";0;1;1388
5;#Have A Sticker;0;0;17360
6;#KILLALLZOMBIES;2;2;3879
7;#monstercakes;58;191;1107
8;$1 Ride;1;2;3941
9;'n Verlore Verstand;0;1;2553
10;(the) Gnorp Apologue;3662;4761;5423
11;- Arcane preRaise -;0;1;11466
12;- Arcane Raise -;2;5;1128
13;- Arcane RERaise -;1;3;10122
14;.hack//G.U. Last Recode;100;130;1989
15;1 Moment Of Time: Silentville;1;2;1124
16;1 vs 1 : Global Operations;0;0;3838
17;1,000 Heads Among the Trees;0;1;1600
18;1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby);0;0;2837
19;10 Minutes Till Dawn;0;2;3444
20;10 Second Ninja X;4;10;1215
21;10,000,000;2;10;1210
22;100 Asian Cats;709;743;1825
23;100 Christmas Cats;70;86;1169
24;100 hidden birds 2;3;7;1394
25;100 hidden cats;4;8;6021
26;100 hidden cats 2;0;6;2009
27;100 hidden eternals;3;6;1578
28;100 hidden snails 2;3;9;1984
29;100% Orange Juice;470;470;3860
30;112 Operator;144;160;1805
31;12 is Better Than 6;9;22;4517
32;12 Labours of Hercules;3;7;1535
33;12 Labours of Hercules II: The Cretan Bull;2;6;1655
34;12 Labours of Hercules III: Girl Power;6;7;1642
35;14 Minesweeper Variants;189;203;346
36;15 defense;0;0;2991
37;16bit Trader;11;13;1345
38;171;31;65;1266
39;1914: Prelude to Chaos;1;5;4570
40;1931: Scheherazade at the Library of Pergamum;1;2;1200
41;1953: NATO vs Warsaw Pact;0;1;1504
42;1v1.LOL;1288;1879;10729
43;2 Ninjas 1 Cup;1;7;4283
44;20 Minutes Till Dawn;462;552;12953
45;24 HOURS;0;0;2188
46;28 Waves Later;0;0;4067
47;3 Coins At School;0;1;4435
48;30 IMPOSSIBLE LEVELS;1;2;22078
49;30XX;88;175;768
50;365 Days;0;0;1570
51;3D ParticleGen Visual FX;0;2;7112
52;3DMark;732;800;1667
53;3DMark Demo;275;328;502
54;3on3 FreeStyle;0;0;1017
55;3on3 FreeStyle: Rebound;223;323;657
56;3SwitcheD;0;2;9486
57;3tene;66;66;175
58;6 Nights;0;1;5430
59;60 Seconds!;49;62;1067
60;60 Seconds! Reatomized;410;474;1251
61;69 Ways to Kill a Zombie;0;3;4230
62;7 Billion Humans;74;100;715
63;7 Days to Die;43588;48356;96827
64;7 Days to Die Dedicated Server;107;118;226
65;8-Bit Arena VR;0;0;8415
66;8infinity;1;5;1778
67;911 Operator;82;109;1955
68;99 Waves to Die;11;12;6655
69;:THE LONGING:;129;224;1063
70;[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ;33;45;1603
71;A Bird Story;7;12;1313
72;a completely normal dating simulation that is definitely completely sweet, innnocent and normal: SOMETHINGETH ANIVERSARY EDITION;1;1;1041
73;A Dance of Fire and Ice;2639;2770;9330
74;A Date with Death;345;514;2870
75;A Demon's Game - Episode 1;0;1;1423
76;A Detective's Novel;1;8;4826
77;A Game of Changes;3;8;2711
78;A Game of Dwarves;1;7;1657
79;A Game of Thrones: The Board Game;57;103;1080
80;A grande bagunça espacial - The big space mess;0;3;6242
81;A Hat in Time;245;464;7312
82;A Little to the Left;789;1214;2832
83;A Plague Tale: Innocence;360;386;4058
84;A Plague Tale: Requiem;406;428;4927
85;A Princess' Tale;0;1;1186
86;A SECOND BEFORE US;0;0;2473
87;A Short Hike;76;86;229
88;A Sirius Game;0;1;1181
89;A Space for the Unbound;68;71;338
90;A Story About My Uncle;25;45;190590
91;A Total War Saga: Thrones of Britannia;481;606;22797
92;A Total War Saga: TROY;406;464;4704
93;A Way Out;2016;2249;3055
94;A-Gents;1;1;1216
95;A-Train: All Aboard! Tourism;100;118;306
96;A.D. 2047;0;0;3481
97;A.V.A Global;576;663;16199
98;A.V.A Playtest;0;0;6664
99;A.V.A. Alliance of Valiant Arms™;1;1;8863
100;AaAaAA!!! - A Reckless Disregard for Gravity;0;2;4253
101;Abandoned Knight;0;1;2959
102;Abduction Bit;0;5;2971
103;Abiotic Factor Playtest;273;523;1352
104;ABO MANDO;0;1;1575
105;Aborigenus;0;1;1290
106;Above - VR;0;1;1406
107;Above Snakes;51;68;2419
108;Above Snakes: Prologue;6;11;3672
109;Absconding Zatwor;1;2;6166
110;Absoloot;0;1;3070
111;Absolver;51;102;18921
112;Abyss Cave;0;0;2930
113;Abyss Raiders: Uncharted;0;0;1595
114;ABZÛ;30;40;1329
115;AccrO;3;6;6623
116;ACE COMBAT™ 7: SKIES UNKNOWN;1143;1178;13758
117;ACE COMBAT™ ASSAULT HORIZON Enhanced Edition;4;9;3795
118;Ace of Spades;1;4;16309
119;Ace of Words;0;2;2234
120;Aces and Adventures;101;115;2455
121;Achievement printer;5;10;3678
122;Achilles: Legends Untold;95;101;470
123;Acid Flip;0;0;5130
124;Across The Moment;0;0;2884
125;Across the Obelisk;1013;1551;14037
126;Act of Aggression;65;75;3131
127;Action Alien;1;2;1927
128;Action Taimanin;1065;1529;2894
129;Action! - Gameplay Recording and Streaming;546;578;743
130;Actual Sunlight;0;1;1990
131;Adorables;13;18;5022
132;Adrenaline adventure;0;0;7674
133;AdVenture Capitalist;1398;1724;22998
134;AdVenture Communist;57;70;2871
135;Adventure Escape Mysteries;136;195;208
136;AdventureQuest 3D;266;320;2098
137;Adventurer Manager;2;3;1100
138;Adventures of Hooi;0;1;1703
139;Aeon Command;1;7;7189
140;Aerial Destruction;1;1;1135
141;Aerofly FS 4 Flight Simulator;51;63;70
142;AEW: Fight Forever;11;25;2210
143;After All;3;7;2828
144;After The Fall;129;134;903
145;Aftercharge;0;0;1156
146;Afterimage;517;573;2412
147;Aftermath;1;1;4302
148;Against the Storm;9703;10385;12832
149;Agapan;0;0;4335
150;Agarest: Generations of War;10;17;3813
151;Agatha Christie - Murder on the Orient Express;71;104;260
152;Age of Chivalry;5;9;2399
153;Age of Conan: Unchained;66;97;1286
154;Age of Conquest IV;69;73;1023
155;Age of Darkness: Final Stand;192;227;3546
156;Age of Empires II (2013);4676;5087;27927
157;Age of Empires II: Definitive Edition;26362;28456;38725
158;Age of Empires III: Definitive Edition;6802;6950;20146
159;Age of Empires IV Ranked Seasons Closed Preview;0;0;33858
160;Age of Empires IV: Anniversary Edition;23568;24964;73928
161;Age of Empires Online;13;23;9493
162;Age of Empires: Definitive Edition;1174;1209;2708
163;Age of Empires® III (2007);683;830;9490
164;Age of History II;1962;1980;2901
165;Age of Mythology: Extended Edition;2341;3165;11074
166;Age of Steel: Recharge;0;1;1593
167;Age of Wonders 4;3288;4287;42877
168;Age of Wonders III;343;389;19469
169;Age of Wonders: Planetfall;266;322;10462
170;Agent 64: Spies Never Die Demo;1;2;1255
171;Agent Awesome;0;1;1759
172;Agent Origins: Escape;0;0;1229
173;Agents of Mayhem;10;15;3687
174;Ages of Conflict: World War Simulator;143;206;312
175;Agony;2;8;2845
176;Agrou;56;76;1273
177;AI War: Fleet Command;2;10;5027
178;AI: Art Impostor;54;84;793
179;AI: Rampage;0;1;14532
180;AI: The Somnium Files;87;112;998
181;AI: THE SOMNIUM FILES - nirvanA Initiative;79;87;2845
182;Aiball;0;1;1174
183;Aimlabs;5424;6526;10381
184;Aion;0;0;1162
185;AION Free-to-Play;50;67;2987
186;Air Threat;4;10;3989
187;Airborne Kingdom;23;28;1136
188;Aircraft Carrier Survival;26;30;2342
189;Aircraft War X;0;1;2001
190;Airline Manager 4;319;349;439
191;AirMech;61;97;2336
192;Airport CEO;356;442;2745
193;AirportSim;110;157;1135
194;Airship: Kingdoms Adrift;72;97;422
195;Airships: Conquer the Skies;86;111;1313
196;Airstrike HD;0;0;4899
197;Akin;4;18;2826
198;Alan Wake;409;701;6652
199;Alaskan Road Truckers;121;137;1822
200;Albert and Otto: The Adventure Begins;0;1;4461
201;Albion Online;9343;10776;26148
202;Alchemist;0;0;1687
203;Alchemyland;0;1;2489
204;Algo Bot;0;2;1143
205;Alice's Patchwork;0;3;1690
206;Alice's Patchworks 2;1;2;1661
207;Alice: Madness Returns;349;398;969
208;Alien Hominid Invasion;81;105;1238
209;Alien Hostage;4;16;4015
210;Alien Run;0;1;2753
211;Alien Shooter;61;71;1029
212;Alien Shooter 2 Conscription;3;16;1249
213;Alien Shooter 2: Reloaded;75;91;1444
214;Alien Shooter TD;14;20;1032
215;Alien Swarm;64;64;60467
216;Alien Swarm - SDK;62;64;71
217;Alien Swarm: Reactive Drop;577;580;9335
218;Alien: Isolation;233;375;10870
219;Aliens vs. Predator;97;127;3794
220;Aliens: Colonial Marines;34;49;13266
221;Aliens: Dark Descent;912;1068;8919
222;Aliens: Fireteam Elite;578;865;15568
223;Alina of the Arena;102;102;1636
224;All Alone: VR;5;8;1011
225;Allods Online RU;70;107;2563
226;Alone K.W.;0;0;1676
227;Alpacapaca Dash;1;2;1606
228;Alpha Protocol;6;9;2427
229;Alpha Runner;0;1;1827
230;Altar Guardian;0;0;3208
231;Alter World;0;1;1547
232;ALTF4;39;40;1207
233;Altitude;0;7;4940
234;Amanda the Adventurer;41;75;1418
235;aMAZE;1;1859;3890
236;aMAZE 2;57;1578;5735
237;Amazing Cultivation Simulator;2071;2175;18349
238;Amazing Frog?;103;116;629
239;Amber Tail Adventure;0;5;6396
240;Ambrosia;77;105;904
241;America's Army 3;1;2;5735
242;America's Army: Proving Grounds;111;302;3073
243;American Arcadia;87;114;266
244;American Truck Simulator;8736;13569;19153
245;American Truck Simulator Demo;133;205;1210
246;Amigdala;0;1;2813
247;Amnesia: A Machine for Pigs;10;25;7249
248;Amnesia: Rebirth;17;31;6486
249;Amnesia: The Bunker;77;145;2423
250;Amnesia: The Dark Descent;61;109;5666
251;AMOK;0;2;1470
252;Among Us;5529;10162;447476
253;Among Us VR;19;60;1144
254;Ampersand;0;1;4524
255;Ampu-Tea;0;1;2037
256;An Arcade Full of Cats;123;147;693
257;ANAREA Battle Royale;0;0;5547
258;Ancestors Legacy;154;187;4940
259;Ancestors Legacy Free Peasant Edition;1;5;1223
260;Ancestors: The Humankind Odyssey;172;238;3334
261;Ancient Cities;184;248;549
262;Ancient Guardian;0;1;3007
263;Ancient Warfare 3;57;80;180
264;Ancient Warfare: The Han Dynasty;45;56;1103
265;And Yet It Moves;0;3;4148
266;Andarilho;6;18;2428
267;Android John;0;1;1898
268;Angel Legion - Idle RPG;810;823;1034
269;Angels Fall First;1;16;1130
270;Angels of Fasaria: Version 2.0;0;0;2910
271;Animal Jam;79;160;5009
272;Animal Revolt Battle Simulator;303;364;1091
273;Animal Rivals;0;0;1758
274;Animal Shelter;81;117;1750
275;Animal Shelter: Prologue;15;23;1038
276;Animalia Survival;111;177;461
277;ANIMALITY;2;4;1417
278;Animation Throwdown: The Quest for Cards;53;84;1380
279;Animaze;611;619;1078
280;ANIME - World War II;1;4;1589
281;ANIME REDEMPTION;0;3;1575
282;Anime! Oi history!;0;0;1255
283;ANKI;0;1;1719
284;Anno 1404;85;85;1070
285;Anno 1404 - History Edition;698;763;1177
286;Anno 1404: Venice;151;151;3677
287;Anno 1800;10241;10289;25302
288;Anno 2070;155;180;11217
289;Anno 2205;222;252;7446
290;Anno Online;0;1;1465
291;ANNO:Mutationem;44;57;2938
292;Anode Heart;64;142;224
293;Anomaly 2;4;5;3055
294;Anomaly Defenders;1;5;2032
295;Anomaly Korea;0;4;1932
296;Anomaly Warzone Earth;1;5;1941
297;Anomaly Warzone Earth Mobile Campaign;1;2;1804
298;Anomaly Zone;56;92;302
299;Anomaly Zone;0;1;1210
300;Anonymous Hacker Simulator: Prologue;8;30;1147
301;ANOTHER EDEN;271;311;935
302;Anoxemia;0;1;2299
303;Antichamber;34;38;2369
304;ANTIFECTOR;0;0;5438
305;Antihorror;1;1;1024
306;Antimatter Dimensions;969;1161;6962
307;Antisphere;0;1;1201
308;ANVIL;6;11;3078
309;Anvil Saga;58;67;804
310;ANVIL_Playtest;0;0;1045
311;Anykey Simulator;0;0;1947
312;AO Tennis 2;80;84;435
313;AoF Chess Club 2.0;0;0;2488
314;AoF World Online;0;0;2799
315;Aokana - Four Rhythms Across the Blue;102;112;484
316;Aozora Meikyuu;0;1;1498
317;Apartment 666;0;1;2055
318;APB Reloaded;220;401;11813
319;Aperture Desk Job;46;79;3519
320;Apex Legends;252548;302519;624473
321;APICO;65;95;645
322;Apocalypse Party;2161;2621;12972
323;Apokalypsis;3;4;2113
324;Apollo4x;1;4;4665
325;App 534960;0;0;3156
326;AppGameKit Classic;3;5;1007
327;Approaching Blocks;1;5;1501
328;Aquanox Deep Descent;7;7;1248
329;Aragami;46;75;1713
330;Aragami 2;60;115;1948
331;ARC Raiders Playtest;0;0;1229
332;Arcade Tale;0;0;1869
333;ArcaniA;38;49;1474
334;ArcheAge;146;178;6509
335;ArcheAge: Unchained;1;3;7242
336;Archeblade;2;4;3460
337;Archery Practice VR;0;1;18888
338;Archimedes;0;0;1341
339;Archipelago;1;6;3422
340;Arctic Combat;0;2;1293
341;Are You Ready?;0;0;6978
342;Arena of Kings;1;7;3310
343;Arena: Blood on the Sand VR;2;3;5460
344;Ares Omega;0;1;4653
345;Arevan;0;1;1051
346;Argo;1;4;6659
347;ARIA CHRONICLE;6;7;1389
348;Arizona Sunshine;169;204;658
349;Arizona Sunshine® 2;113;186;581
350;ARK: Survival Ascended;31097;40057;98047
351;ARK: Survival Ascended Dedicated Server;122;161;392
352;ARK: Survival Evolved;36720;38991;248405
353;ARK: Survival Of The Fittest;30;41;3929
354;Arma 2;39;44;1935
355;Arma 2 Demo;0;0;1065
356;Arma 2: DayZ Mod;30;44;2305
357;Arma 2: Operation Arrowhead;256;334;19175
358;Arma 3;11828;17411;56679
359;Arma Reforger;780;1386;12342
360;Arma Reforger Server;93;110;145
361;Arma Reforger Tools;52;60;319
362;Arma: Cold War Assault;26;50;3017
363;Armello;152;231;3614
364;Armikrog;4;7;1202
365;ARMORED CORE™ VI FIRES OF RUBICON™;3887;4133;156171
366;Armored Gear;0;1;2653
367;Armored Warfare;270;297;767
368;Army of Ruin;128;134;1021
369;Army of Tentacles: (Not) A Cthulhu Dating Sim;0;0;2812
370;ArsonVille;6;6;5725
371;art of rally;65;78;477
372;Art of War: Red Tides;43;56;4031
373;Artifact Classic;236;242;60646
374;As Far As The Eye;9;16;1532
375;Ascend: Hand of Kul;0;1;2461
376;Ascendant;2;2;2000
377;Ascension;69;97;197
378;Aseprite;2486;2971;4204
379;Ash of Gods: Redemption;18;20;1002
380;Ashen Empires;111;137;1271
381;Ashes of Creation Apocalypse Open Beta;0;0;1518
382;Ashes of Immortality II;0;1;1009
383;Ashes of Immortality II - Bad Blood;0;1;1009
384;Ashes of the Singularity: Escalation;57;69;3831
385;Ashfall Playtest;0;0;1075
386;ASMR Universe;0;0;2919
387;Asphalt 9: Legends;1083;1095;1809
388;Assassin's Creed;210;255;1468
389;Assassin's Creed Brotherhood;473;546;3848
390;Assassin's Creed II;873;886;3617
391;Assassin's Creed III Remastered;457;485;3561
392;Assassin's Creed IV Black Flag;1627;1834;16049
393;Assassin's Creed Liberation;14;17;1174
394;Assassin's Creed Odyssey;8562;9137;62069
395;Assassin's Creed Origins;3290;3540;41551
396;Assassin's Creed Revelations;263;265;3105
397;Assassin's Creed Rogue;330;344;2371
398;Assassin's Creed Syndicate;649;677;4729
399;Assassin's Creed Unity;1675;1775;12180
400;Assassin's Creed Valhalla;6468;6719;15679
401;Assassin's Creed® III;18;36;15007
402;ASSASSINATION BOX;0;1;1597
403;Assetto Corsa;15763;18818;19317
404;Assetto Corsa Competizione;4542;5729;9416
405;ASTA Online;0;1;1953
406;Astellia;0;1;1181
407;Asterigos: Curse of the Stars;87;101;1672
408;Asteroid Bounty Hunter;1;1;3999
